n	pca1	pca2
119	99.9848	0.0151682
120	99.9866	0.0134269
121	99.9842	0.0157851
122	99.9627	0.0372604
123	99.9412	0.058766
124	99.9372	0.0627725
125	99.9274	0.0725728
126	99.7905	0.209523
127	99.7317	0.268305
128	99.5416	0.458413
129	99.4743	0.525657
130	99.9145	0.0854582
131	99.8912	0.108828
132	99.8911	0.108933
133	99.7346	0.265389
134	99.921	0.079029
135	99.929	0.0710023
136	99.95	0.0500404
137	99.9027	0.0973093
138	99.9015	0.0984696
139	99.8876	0.112418
140	99.8572	0.142818
141	99.8744	0.125599
142	98.4487	1.55132
143	98.6572	1.34283
144	99.8581	0.141924
145	99.9181	0.0819218
146	99.1513	0.848671
147	98.9384	1.06159
148	99.5978	0.402229
149	98.7901	1.20989
150	98.72	1.28
151	99.6548	0.345188
152	99.6506	0.349422
153	99.4605	0.539509
154	99.7129	0.287069
155	99.9508	0.0492141
156	99.9509	0.0490922
157	99.9332	0.0667629
158	99.878	0.122001
159	99.9113	0.0887355
160	99.7272	0.272753
161	99.8476	0.152432
162	99.945	0.0549955
163	99.9111	0.0888911
164	99.9467	0.0532789
165	99.9395	0.0604782
166	99.9505	0.0494908
167	99.9443	0.0556631
168	99.9582	0.0417978
169	99.7638	0.236204
170	99.9687	0.0313301
171	99.9609	0.0391017
172	99.7713	0.228696
173	99.6509	0.349082
174	99.1631	0.836858
175	99.3707	0.629264
176	99.1783	0.821669
177	99.1225	0.87752
178	99.1108	0.889185
179	99.2235	0.77654
180	99.6464	0.353643
181	99.6848	0.315194
182	99.8438	0.156245
183	99.8411	0.158932
184	99.7167	0.283281
185	99.9041	0.0959248
186	99.7863	0.21368
187	99.9594	0.0406491
188	94.5215	5.47849
189	99.6562	0.343768
190	99.8862	0.113778
191	99.8875	0.112508
192	99.7821	0.217939
193	99.6695	0.33049
194	99.4977	0.502336
195	99.8853	0.114684
196	99.9059	0.0940786
197	99.9434	0.0566213
198	99.9586	0.0414234
199	99.8976	0.102427
200	99.916	0.0839741
201	99.9551	0.0449018
202	99.93	0.0699789
203	99.8942	0.105786
204	99.8356	0.164404
205	99.8632	0.136845
206	99.8477	0.152261
207	99.8657	0.134321
208	99.7536	0.24641
209	99.8616	0.138424
210	99.8302	0.169765
211	99.6213	0.378694
212	99.7554	0.244584
213	99.5788	0.42122
214	99.5876	0.412384
215	99.6029	0.397129
216	99.5482	0.451779
217	99.4216	0.578431
218	99.4693	0.530669
219	99.521	0.478969
220	99.787	0.213043
221	99.5517	0.448259
222	99.7082	0.291808
223	99.826	0.174007
224	99.9289	0.0710811
225	99.9328	0.0672113
226	99.9637	0.0362666
227	99.967	0.0329627
228	99.8582	0.141802
229	99.8604	0.139566
230	99.7823	0.217723
231	99.7659	0.234069
232	99.8589	0.141136
233	99.9486	0.0513742
234	99.8639	0.136143
235	99.8396	0.160411
236	99.9365	0.0634837
237	99.9456	0.0543654
238	99.9683	0.0316767
239	99.9638	0.0362264
240	99.9582	0.0417944
241	99.9568	0.0432168
242	99.9773	0.0227387
243	99.9761	0.0238925
244	99.9556	0.0444343
245	99.9584	0.0415538
246	99.9723	0.0276524
247	99.9455	0.0545489
248	99.9646	0.0354174
249	99.97	0.0300349
250	99.965	0.0350188
251	99.9775	0.0224941
252	99.9811	0.0188951
253	99.9876	0.0123522
254	99.9561	0.0439357
255	99.9841	0.0158705
256	99.9689	0.0310915
257	99.9838	0.0161705
258	99.9798	0.0201989
259	99.9742	0.0257715
260	99.9695	0.0304509
261	99.963	0.0370187
262	99.9767	0.0232546
263	99.9629	0.0370917
264	99.9542	0.0457599
265	99.9697	0.0302943
266	99.9708	0.0291594
267	99.9714	0.0286434
268	99.9569	0.0431396
269	99.7717	0.228274
270	99.9227	0.0772703
271	99.9655	0.0344593
272	99.9141	0.0858865
273	99.9596	0.0404169
274	99.9369	0.0630598
275	99.9344	0.0656396
276	99.9131	0.0868682
277	99.9261	0.0739344
278	99.9046	0.095366
279	99.8115	0.188532
280	99.6523	0.347749
281	99.6432	0.356845
282	99.7642	0.235812
283	99.7254	0.274632
284	99.4228	0.577196
285	99.8121	0.187936
286	99.9225	0.0774728
287	99.9143	0.0857142
288	99.8356	0.164402
289	99.94	0.0600086
290	99.8364	0.163559
291	99.7268	0.273201
292	99.6389	0.361089
293	99.5436	0.456363
294	99.7811	0.21892
295	99.8985	0.101517
296	99.8288	0.171186
297	99.9611	0.0388687
298	99.9531	0.0468816
299	99.952	0.0480152
300	99.9595	0.0405307
301	99.9709	0.0291048
302	99.9643	0.0357403
303	99.8925	0.107514
304	99.9749	0.0251309
305	99.8775	0.122522
306	99.8127	0.187309
307	99.8837	0.116263
308	99.8739	0.126118
309	99.9473	0.0527324
310	99.957	0.0430151
311	99.959	0.0409664
312	99.8239	0.1761
313	99.9157	0.08429
314	99.9215	0.0785142
315	99.8598	0.140188
316	99.8558	0.144174
317	99.9727	0.0273494
318	99.9765	0.023538
319	99.953	0.046973
320	99.9784	0.0216395
321	99.9299	0.0701096
322	99.9131	0.0868603
323	99.968	0.0320013
324	99.7184	0.281599
325	99.8778	0.122229
326	99.9132	0.0868478
327	99.8891	0.110913
328	99.9113	0.0886724
329	99.3722	0.62782
330	99.9559	0.0440913
331	99.9522	0.0477612
332	99.8125	0.187541
333	99.3554	0.644558
334	99.837	0.163022
335	99.8751	0.124891
336	99.944	0.0559882
337	99.9436	0.0564243
338	99.9463	0.0536559
339	99.8648	0.135189
340	99.829	0.170951
341	99.7935	0.206456
342	99.8451	0.154891
343	99.8169	0.183075
344	99.8059	0.194135
345	99.9095	0.0905324
346	99.8935	0.106515
347	99.8465	0.153529
348	99.8138	0.186247
349	99.918	0.0819786
350	99.932	0.0680483
351	99.8487	0.151251
352	99.6652	0.334806
353	99.8818	0.118212
354	99.8059	0.194114
355	99.8977	0.102282
356	99.9066	0.093415
357	99.5591	0.440941
358	99.537	0.462972
359	99.8716	0.128365
360	99.783	0.21696
361	99.7031	0.296891
362	99.2525	0.747464
363	99.5881	0.411858
364	99.3736	0.626385
365	99.7261	0.27392
366	99.8772	0.122819
367	99.8706	0.129371
368	99.8218	0.178158
369	99.8872	0.11275
370	99.899	0.101025
371	99.8875	0.112487
372	99.7601	0.23989
373	99.9274	0.0725872
374	99.9355	0.0645166
375	99.8755	0.124503
376	99.8454	0.154565
377	99.9304	0.0695927
378	99.9131	0.0868908
379	99.8292	0.17079
380	99.8073	0.192685
381	99.7728	0.227241
382	99.8511	0.148877
383	99.8982	0.101771
384	99.842	0.158009
385	99.8758	0.12423
386	99.855	0.144996
387	99.8128	0.187151
388	99.7933	0.206674
389	99.8259	0.174087
390	99.8392	0.160754
391	99.752	0.247979
392	99.943	0.0569727
393	99.9572	0.0428459
394	99.9484	0.0515651
395	99.9688	0.031155
396	99.9631	0.0368698
397	99.9545	0.0454825
398	99.9658	0.0342275
399	99.9687	0.0313241
400	99.9698	0.0302474
401	99.9083	0.0917018
402	99.6645	0.335492
403	99.9122	0.0877966
404	99.9322	0.0677739
405	99.8999	0.100122
406	99.9355	0.0644596
407	99.6542	0.345799
408	99.9401	0.059888
409	99.8254	0.174553
410	99.5718	0.428163
411	99.4015	0.598531
412	99.5607	0.439269
413	99.5352	0.464797
414	99.7868	0.213159
415	99.7948	0.205201
416	99.8144	0.185638
417	99.6556	0.344372
418	99.5868	0.413214
419	99.3779	0.622072
420	99.4445	0.555532
421	99.2729	0.727097
422	99.6306	0.369406
423	99.9178	0.0822244
424	99.8013	0.198725
425	99.9271	0.0728884
426	99.9623	0.037727
427	99.9479	0.0521185
428	99.933	0.0669662
429	99.9055	0.0945104
430	99.9158	0.084246
431	99.9533	0.0466576
432	99.9053	0.0946773
433	99.8801	0.11988
434	99.8998	0.100161
435	99.8961	0.103887
436	99.9757	0.0243006
437	99.9744	0.0255985
438	99.9796	0.0204285
439	99.7984	0.201603
440	99.9832	0.0167603
441	99.9706	0.0294053
442	99.9653	0.0346537
443	99.9464	0.0536306
444	99.9725	0.0275167
445	99.9711	0.0288995
446	99.9108	0.0892218
447	99.8821	0.117887
448	99.8064	0.193569
449	99.8395	0.160483
450	99.895	0.105039
451	99.9029	0.0971351
452	99.8907	0.109257
453	99.9129	0.0870623
454	99.7117	0.288265
455	98.4276	1.57239
456	99.8244	0.17559
457	99.673	0.327038
458	99.4248	0.575233
459	99.9092	0.0907766
460	99.8017	0.198319
461	99.5791	0.420874
462	99.8772	0.122824
463	99.8082	0.191768
464	99.7299	0.270073
465	99.795	0.204965
466	99.4838	0.516245
467	99.5932	0.406779
468	99.9447	0.0552985
469	99.9578	0.0422197
470	99.9569	0.0431312
471	99.9524	0.0476319
472	99.9781	0.0219292
473	99.9697	0.0302903
474	99.9662	0.0338142
475	99.9442	0.0558174
476	99.9658	0.034223
477	99.9722	0.0277824
478	99.949	0.0510399
479	99.9543	0.0456504
480	99.965	0.0350163
481	99.9721	0.0279373
482	99.8096	0.190364
483	99.9076	0.0923751
484	99.8224	0.177615
485	99.8017	0.198303
486	99.7295	0.270521
487	99.9082	0.0917937
488	99.9435	0.0565275
489	99.9783	0.0216988
490	99.9743	0.0257029
491	99.975	0.0250176
492	99.9524	0.0476101
493	99.9672	0.0327545
494	99.9699	0.0301489
495	99.955	0.045024
496	99.9574	0.04258
497	99.9443	0.0557334
498	99.943	0.0570141
499	99.9588	0.0412112
500	99.9043	0.095729
501	99.9094	0.0905748
502	99.8746	0.125424
503	99.7644	0.235572
504	99.6426	0.357386
505	99.9058	0.0942117
506	99.8544	0.145592
507	99.9145	0.0855267
508	99.9229	0.0771287
509	99.8778	0.122222
510	99.5621	0.437873
511	99.9613	0.0386798
512	99.9536	0.0463757
513	99.924	0.0760126
514	99.8776	0.122372
515	99.9568	0.0431776
516	99.9176	0.0824363
517	99.9224	0.0775605
518	99.9564	0.0435613
519	99.9147	0.0852751
520	99.9162	0.0837879
521	99.9507	0.0493203
522	99.9558	0.0441576
523	99.9174	0.0826268
524	99.9131	0.0869168
525	99.9378	0.0621949
526	99.9672	0.032842
527	99.8532	0.146778
528	99.9286	0.0714124
529	99.8477	0.152346
530	99.7681	0.231852
531	99.893	0.106991
532	99.9041	0.0959034
533	99.8937	0.106305
534	99.8197	0.180329
535	99.8969	0.103082
536	99.7781	0.221904
537	99.8341	0.165924
538	99.8836	0.116377
539	99.8952	0.104812
540	99.8464	0.153589
541	99.782	0.218002
542	99.7784	0.221632
543	99.9312	0.0688316
544	99.8591	0.14089
545	99.936	0.0640057
546	99.9836	0.0163829
547	99.9728	0.027248
548	99.8197	0.180312
549	99.7094	0.290561
550	99.8285	0.171497
551	99.8724	0.127579
552	99.7831	0.216852
553	99.777	0.222984
554	99.8522	0.147757
555	99.8838	0.11622
556	99.8039	0.196099
557	99.8317	0.16829
558	99.8263	0.173684
559	99.8052	0.194825
560	99.95	0.0499884
561	99.9407	0.059289
562	99.9359	0.064064
563	99.9039	0.0961223
564	99.9344	0.065572
565	99.8684	0.131642
566	99.8875	0.112518
567	99.8088	0.191172
568	99.8495	0.15047
569	99.5246	0.475431
570	99.7039	0.296079
571	99.8085	0.191541
572	99.7779	0.222143
573	99.9292	0.0707809
574	99.8741	0.125899
575	99.9123	0.0877206
576	99.9282	0.0717607
577	99.8354	0.1646
578	99.6474	0.352637
579	99.6539	0.346087
580	99.734	0.266029
581	99.5095	0.490492
582	99.8222	0.177781
583	99.8921	0.107922
584	99.8654	0.134597
585	99.6329	0.367093
586	99.1096	0.890428
587	99.5214	0.47864
588	99.5527	0.447325
589	99.3664	0.633608
590	99.4234	0.576629
591	99.9284	0.0716407
592	99.9077	0.0922709
593	99.9373	0.0627444
594	99.9405	0.0595234
595	99.5913	0.408727
596	99.7462	0.25384
597	99.9742	0.0257803
598	99.9773	0.0226744
599	99.962	0.0380086
600	99.751	0.249005
601	99.7627	0.237307
602	99.5901	0.409912
603	99.9215	0.0785477
604	99.873	0.126994
605	99.8816	0.118448
606	99.8955	0.104456
607	99.9044	0.0955872
608	99.907	0.0930209
609	99.8499	0.150077
610	99.8925	0.107506
611	99.9442	0.0558441
612	99.9272	0.0728281
613	99.832	0.168029
614	99.9368	0.0632266
615	99.9582	0.0417723
616	99.9538	0.0462284
617	99.9654	0.0346486
618	99.9405	0.0594724
619	99.9054	0.0945718
620	99.8811	0.118895
621	99.8174	0.182566
622	99.7606	0.239424
623	99.8864	0.113621
624	99.7814	0.218575
625	99.8494	0.150564
626	99.8214	0.17863
627	99.8334	0.16655
628	99.9012	0.0987557
629	99.8309	0.16911
630	99.9055	0.0945253
631	99.8912	0.10878
632	98.9962	1.00381
633	98.6764	1.32355
634	98.7276	1.27238
635	99.7525	0.2475
636	99.8526	0.147408
637	99.8254	0.174621
638	99.8367	0.163333
639	99.8077	0.192288
640	99.8311	0.168872
641	99.8982	0.101801
642	99.9335	0.0665247
643	99.8346	0.165352
644	99.7634	0.236639
645	99.5759	0.424054
646	99.7221	0.277912
647	99.5597	0.440324
648	99.9297	0.0703368
649	99.9627	0.0373148
650	99.6378	0.362214
651	99.4528	0.547233
652	99.5059	0.494094
653	99.9521	0.0479178
654	99.9702	0.0297638
655	99.9676	0.032409
656	99.8016	0.198373
657	99.704	0.296037
658	99.8354	0.164616
659	99.6546	0.345445
660	99.4579	0.542144
661	99.8525	0.1475
662	99.8811	0.118904
663	99.9121	0.0879297
664	98.8854	1.11464
665	98.7704	1.22955
666	98.4879	1.51206
667	98.6955	1.30454
668	98.2441	1.7559
669	97.7729	2.22708
670	97.501	2.49902
671	99.8342	0.165756
672	99.8793	0.120729
673	99.9066	0.0933842
674	99.9008	0.099184
675	99.9486	0.051359
676	99.9554	0.0445758
677	99.8438	0.156199
678	99.9071	0.092911
679	98.5264	1.47356
680	99.9712	0.0287738
681	99.9757	0.0243278
682	99.9444	0.0556284
683	99.9591	0.0408592
684	99.9464	0.0536315
685	99.9424	0.0576141
686	99.9312	0.0688344
687	99.9674	0.0326189
688	99.9677	0.0322645
689	99.9723	0.027671
690	99.9662	0.0338471
691	99.9671	0.0329373
692	99.9684	0.0316104
693	99.9798	0.0202238
694	99.985	0.0150345
695	99.9209	0.0790631
696	99.9205	0.0794529
697	99.9444	0.0555972
698	99.9701	0.0298695
699	99.9612	0.0388388
700	99.9711	0.0289162
701	99.9819	0.0180971
702	99.9581	0.041861
703	99.9697	0.0303179
704	99.9823	0.0176933
705	99.9776	0.022442
706	99.9715	0.0285079
707	99.9838	0.0161585
708	99.982	0.0179653
709	99.9687	0.0313141
710	99.9822	0.0178173
711	99.9596	0.0403853
712	99.9829	0.0171134
713	99.9773	0.0226826
714	99.9736	0.026358
715	99.9343	0.0656798
716	99.9838	0.0162144
717	99.9834	0.0166079
718	99.9728	0.0272272
719	99.9829	0.0170965
720	99.889	0.111013
721	99.9368	0.0631573
722	99.9473	0.0527163
723	99.8877	0.112348
724	99.8435	0.156532
725	99.7868	0.213178
726	99.9127	0.0873384
727	99.9433	0.0566517
728	99.9297	0.0702776
729	99.9281	0.0718939
730	99.94	0.0599627
731	99.9465	0.05353
732	99.8609	0.139087
733	99.8699	0.130072
734	99.9105	0.0894873
735	99.9459	0.0541145
736	99.9277	0.0723271
737	99.8956	0.104449
738	99.9134	0.086602
739	99.9448	0.0551912
740	99.9225	0.0774941
741	99.8982	0.101778
742	99.9745	0.025546
743	99.9778	0.0221791
744	99.9189	0.0811087
745	99.6636	0.336424
746	99.7051	0.294854
747	99.631	0.368978
748	99.5509	0.449053
749	99.9362	0.0638114
750	99.9203	0.0796995
751	99.6658	0.334199
752	99.9788	0.0212452
753	99.9332	0.0668251
754	99.9682	0.0317683
755	99.9607	0.0392565
756	99.8011	0.19886
757	99.8972	0.102825
758	99.9555	0.044474
759	99.9502	0.0497884
760	99.9412	0.0587721
761	99.8572	0.142801
762	99.7554	0.244629
763	99.9338	0.066224
764	99.9302	0.0698308
765	99.9415	0.0584566
766	99.7518	0.248227
767	99.9233	0.0766529
768	99.9157	0.08434
769	99.9157	0.0842742
770	99.9526	0.0474301
771	99.9635	0.0365171
772	99.9625	0.0375421
773	99.9386	0.0614235
774	99.9327	0.0672792
775	99.9623	0.037715
776	99.8822	0.117785
777	99.9611	0.0388807
778	99.9698	0.0301888
779	99.9708	0.0292241
780	99.8084	0.191592
781	99.8988	0.101222
782	99.9564	0.0435639
783	99.9734	0.0265817
784	99.896	0.103961
785	99.9581	0.0418775
786	99.9724	0.0275519
787	99.963	0.037009
788	99.8921	0.107893
789	99.8679	0.132112
790	99.8704	0.129633
791	99.9044	0.0956301
792	99.9517	0.0482911
793	99.9764	0.0236154
794	99.9688	0.0312374
795	99.8656	0.134381
796	99.5773	0.422718
797	99.5836	0.416409
798	99.3171	0.682875
799	99.5294	0.4706
800	99.2652	0.734832
801	98.6773	1.32275
802	99.3426	0.657377
803	99.805	0.194994
804	99.0511	0.948915
805	99.9497	0.0503073
806	99.5976	0.402358
807	99.9512	0.0488329
808	99.9352	0.0647748
809	99.7295	0.270477
810	99.962	0.0380418
811	99.8346	0.165384
812	99.7727	0.227263
813	99.7573	0.242683
814	99.6979	0.302108
815	99.3932	0.606845
816	99.555	0.44498
817	99.6349	0.365109
818	99.537	0.462961
819	99.8076	0.192355
820	99.9215	0.0784953
821	99.9209	0.0791401
822	99.5497	0.450341
823	99.9326	0.0674218
824	99.9193	0.0806707
825	99.7368	0.263215
826	99.6875	0.312547
827	98.9337	1.0663
828	99.4437	0.55631
829	98.0973	1.90269
830	98.9576	1.04242
831	99.8276	0.172416
832	99.4149	0.5851
833	99.7794	0.220612
834	99.774	0.225993
835	99.8005	0.199528
836	99.2748	0.725199
837	98.8368	1.16322
838	99.0461	0.953929
839	99.6361	0.363872
840	99.7306	0.269446
841	99.9688	0.0311939
842	99.716	0.284019
843	99.9509	0.0490664
844	99.5773	0.42266
845	99.7459	0.254138
846	99.7249	0.275147
847	99.811	0.189028
848	99.8915	0.108543
849	99.906	0.0940285
850	99.8121	0.187859
851	99.7954	0.20463
852	99.9262	0.0738273
853	99.9694	0.030612
854	99.9459	0.054138
855	99.9747	0.0253339
856	99.7196	0.280435
857	99.9135	0.0864883
858	99.9825	0.0175012
859	99.9634	0.0365571
860	99.9751	0.0249301
861	99.892	0.107993
862	99.9638	0.0362159
863	99.878	0.121954
864	99.8716	0.128429
865	99.8381	0.161925
866	99.9524	0.0476462
867	99.9034	0.09656
868	99.8818	0.118169
869	99.8356	0.164403
870	99.951	0.0489751
871	99.9627	0.0373112
872	99.967	0.0330124
873	99.9813	0.0187017
874	99.9693	0.0307279
875	99.9237	0.0763271
876	99.8238	0.176206
877	99.8438	0.156167
878	99.9459	0.0540645
879	99.8993	0.100735
880	99.9074	0.0925549
881	99.8939	0.106064
882	99.9052	0.094822
883	99.6676	0.332446
884	99.7332	0.266805
885	99.9209	0.079104
886	99.9602	0.0398248
887	99.9185	0.0815454
888	99.9455	0.0544886
889	99.808	0.192045
890	99.7362	0.263772
891	99.9274	0.0726154
892	99.8214	0.17861
893	99.9273	0.0726803
894	99.9028	0.0971837
895	99.8698	0.130163
896	99.8088	0.191188
897	99.8858	0.114209
898	99.9573	0.0427037
899	99.9287	0.0712557
900	99.9528	0.0472125
901	99.7412	0.258778
902	99.9459	0.054073
903	99.9617	0.0382506
904	99.9319	0.0680781
905	99.5068	0.493156
906	99.8643	0.135687
907	99.9449	0.0550501
908	99.9489	0.0511141
909	99.9168	0.0832229
910	99.9675	0.0325374
911	99.8601	0.139917
912	99.9692	0.0307798
913	99.9419	0.0581274
914	99.9714	0.0286372
915	99.9334	0.0666207
916	99.9055	0.0944777
917	99.9501	0.0498625
918	99.9649	0.0351429
919	99.9684	0.031643
920	99.9215	0.0785405
921	99.9447	0.0553236
922	99.922	0.0779838
923	99.8764	0.123611
924	99.904	0.0959565
925	99.9392	0.0608182
926	99.9524	0.0475762
927	99.9772	0.0227811
928	99.8476	0.15243
929	99.9215	0.0785219
930	99.8898	0.110185
931	99.9557	0.044333
932	99.9611	0.0388833
933	99.9534	0.0465538
934	99.8984	0.101581
935	99.9545	0.0454644
936	99.8779	0.12214
937	99.951	0.049021
938	99.8881	0.11192
939	99.7629	0.237054
940	99.6795	0.320533
941	99.6501	0.349923
942	99.5937	0.406314
943	99.8569	0.14313
944	99.9091	0.0908977
945	99.7789	0.221148
946	99.7566	0.243416
947	99.6704	0.329631
948	99.8999	0.100077
949	99.6853	0.314655
950	99.9316	0.0683802
951	99.8126	0.187381
952	99.7814	0.218597
953	99.914	0.0860421
954	99.0488	0.951201
955	99.8088	0.191235
956	99.7602	0.239776
957	99.922	0.0780178
958	99.6124	0.387608
959	99.8755	0.124452
960	99.7844	0.215644
961	99.883	0.117033
962	99.8481	0.151872
963	99.7263	0.273685
964	99.7208	0.279197
965	99.496	0.504027
966	99.7015	0.298495
967	99.3182	0.681836
968	99.651	0.349023
969	99.7174	0.282557
970	99.5206	0.479385
971	99.4809	0.519124
972	99.8523	0.147702
973	99.94	0.0599827
974	99.8645	0.135506
975	99.1785	0.821484
976	99.4762	0.523817
977	99.5879	0.412051
978	99.3485	0.651505
979	98.8073	1.19266
980	99.8398	0.160178
981	99.7155	0.284537
982	99.9118	0.0881848
983	99.6312	0.368796
984	99.6748	0.325213
985	99.8048	0.195165
986	99.8804	0.11956
987	99.9772	0.0227608
988	99.941	0.0589948
989	99.9443	0.0557312
990	99.9365	0.063488
991	99.8864	0.113604
992	99.9597	0.0403043
993	99.9503	0.0496736
994	99.8997	0.100288
995	99.9572	0.042829
996	99.9362	0.0638391
997	99.8864	0.113615
998	99.437	0.562965
999	99.8728	0.127182
1000	99.7785	0.221491
1001	99.81	0.19
1002	99.6594	0.34062
1003	99.9681	0.0319421
1004	99.9884	0.0116137
1005	99.9752	0.0248468
1006	99.9315	0.068457
1007	99.963	0.0369978
1008	99.9291	0.0709196
1009	99.8952	0.104776
1010	99.9362	0.0637848
1011	99.8849	0.115078
1012	99.904	0.0960167
1013	99.9462	0.0538151
1014	99.8506	0.149417
1015	99.9344	0.0656129
1016	99.9019	0.0981098
1017	99.8136	0.18637
1018	99.9151	0.0848839
1019	99.9488	0.0512264
1020	99.9501	0.0499193
1021	99.8637	0.136297
1022	99.7762	0.22379
1023	99.8348	0.165177
1024	99.844	0.15599
1025	99.7451	0.25486
1026	99.7434	0.256632
1027	99.7715	0.228524
1028	99.9717	0.0283317
1029	99.9182	0.0818198
1030	99.8726	0.127395
1031	99.8829	0.117103
1032	99.9171	0.0828782
1033	99.8962	0.103768
1034	99.9222	0.0778007
1035	99.9519	0.0481146
1036	99.4481	0.551851
1037	99.6472	0.352768
1038	99.3425	0.657476
1039	99.7016	0.298364
1040	99.7068	0.293159
1041	99.8451	0.154925
1042	99.8492	0.150753
1043	99.6557	0.34429
1044	99.6633	0.336725
1045	99.5523	0.447665
1046	99.9047	0.0952902
1047	99.9779	0.0221347
1048	99.9704	0.0296066
1049	99.9722	0.02779
1050	99.9678	0.0321834
1051	99.9531	0.0469059
1052	99.9523	0.047697
1053	98.5667	1.43327
1054	99.6198	0.380209
1055	99.577	0.422962
1056	99.908	0.092009
1057	99.9603	0.0397456
1058	99.9106	0.0894369
1059	99.9402	0.0597885
1060	99.8604	0.139629
1061	99.6238	0.37625
1062	99.5029	0.497056
1063	99.8965	0.103467
1064	99.6966	0.30345
1065	99.8291	0.170859
1066	99.9577	0.0422578
1067	99.9565	0.0435137
1068	99.9181	0.0819222
1069	99.9457	0.054263
1070	99.8831	0.116897
1071	99.921	0.0790294
1072	99.9509	0.0490827
1073	99.9628	0.0372246
1074	99.9449	0.0551112
1075	99.8208	0.179182
1076	99.5075	0.49249
1077	99.7708	0.22921
1078	99.5751	0.424863
1079	99.6458	0.35417
1080	99.6889	0.311126
1081	99.9477	0.0523127
1082	99.9043	0.0956803
1083	99.7993	0.20069
1084	99.7041	0.2959
1085	98.7221	1.27793
1086	99.7947	0.205288
1087	99.9427	0.0573338
1088	99.9679	0.0321329
1089	99.9658	0.0341695
1090	99.3945	0.605495
1091	99.9739	0.0260756
1092	99.8785	0.121514
1093	99.7695	0.230482
1094	99.9498	0.0501679
1095	99.9694	0.0305522
1096	99.6646	0.335359
1097	99.9078	0.092165
1098	98.4127	1.58729
1099	95.3578	4.64219
1100	98.5877	1.41231
1101	98.6489	1.35115
1102	99.0245	0.975502
1103	99.6061	0.393936
1104	99.5506	0.449363
1105	99.3991	0.600947
1106	99.4616	0.538423
1107	98.7783	1.22167
1108	99.7556	0.24444
1109	99.5163	0.483685
1110	99.4453	0.554658
1111	98.8053	1.19468
1112	98.3935	1.60646
1113	99.8824	0.117564
1114	99.9128	0.0872129
1115	99.871	0.129045
1116	99.9527	0.0473323
1117	99.9767	0.0232926
1118	99.9443	0.0556537
1119	99.7588	0.24125
1120	99.9802	0.019789
1121	99.7213	0.278703
1122	99.5595	0.440544
1123	99.8051	0.194924
1124	99.1262	0.873804
